Altium Designer Pick and Place Locations
C:\Users\b.moczala.SPACE\AppData\Local\Temp\Releases\Snapshot\1\_Release_panel\JLCPCB\Pick Place\Pick Place for I_PRV_UWS_B2_1_0b_panel.csv

========================================================================================================================
File Design Information:

Date:       28.06.22
Time:       12:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R22","Resistor","BottomLayer","SMD0402_RES","49.3990","7.8666","270","Resistor"
"R21","Resistor","BottomLayer","SMD0402_RES","54.7114","7.8738","90","Resistor"
"R30","Resistor","BottomLayer","SMD0402_RES","39.4602","16.1121","0","Resistor"
"J2","Connector 6 pin","TopLayer","6x1_connector_1.27mm","30.3276","3.0988","180",""
"IC2","ATtinny10","BottomLayer","SOT23-6","29.3878","-0.6604","90",""
"R16","Resistor","BottomLayer","SMD0402_RES","22.2248","7.3408","0","Resistor"
"C5","Capacitor","BottomLayer","SMD0603_CAP","48.0568","-0.8762","270","Capacitor"
"R32","Resistor","BottomLayer","SMD0402_RES","8.0774","3.2256","180","Resistor"
"R31","Resistor","BottomLayer","SMD0402_RES","8.0774","1.9810","180","Resistor"
"D6","LED","TopLayer","SMD0603_LED","8.0646","1.9812","0","LED"
"IC6","GS8331-TR","BottomLayer","SOT23-5","52.0954","11.5316","180","OPAx333 1.8-V, microPower, CMOS Operational Amplifiers, Zero-Drift Series"
"Q2","BM3415E","BottomLayer","SOT_23","15.9512","13.7820","0","HEXFET Power P-Channel MOSFET"
"R29","Resistor","BottomLayer","SMD0402_RES","27.1274","-1.4984","270","Resistor"
"R17","Resistor","BottomLayer","SMD0402_RES","29.9722","1.7778","180","Resistor"
"R10","Resistor","BottomLayer","SMD0402_RES","33.6616","13.9626","270","Resistor"
"J1","Connector 6 pin","BottomLayer","6x1_connector_1.27mm","30.6324","11.4554","0",""
"R19","Resistor","BottomLayer","SMD0402_RES","50.1906","7.8666","270","Resistor"
"R12","Resistor","BottomLayer","SMD0402_RES","53.8732","7.8662","90","Resistor"
"R18","Resistor","BottomLayer","SMD0402_RES","18.2374","15.5958","270","Resistor"
"Q1","SI2302","BottomLayer","SOT_23","20.4978","14.8082","180","HEXFET Power N-Channel MOSFET"
"J10","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","50.4865","-3.8147","180",""
"R6","Resistor","BottomLayer","SMD0402_RES","30.3274","-3.6324","90","Resistor"
"J12","Battery","TopLayer","LIION_UWS","28.8414","-0.6426","0",""
"B1","UWS_B1_outline","TopLayer","UWS_B1_OUTLINE","33.5344","5.9574","180",""
"C1","Capacitor","BottomLayer","SMD0603_CAP","49.3776","-0.8762","270","Capacitor"
"C3","Capacitor","BottomLayer","SMD0402_CAP","50.5714","-0.4826","270","Capacitor"
"C4","Capacitor","BottomLayer","SMD0402_CAP","52.0954","7.1374","0","Capacitor"
"C6","Capacitor","BottomLayer","SMD0402_CAP","49.6570","11.9126","90","Capacitor"
"C7","Capacitor","BottomLayer","SMD0402_CAP","48.8950","11.9126","90","Capacitor"
"C10","Capacitor","BottomLayer","SMD0402_CAP","31.9532","4.7244","270","Capacitor"
"C11","Capacitor","BottomLayer","SMD0402_CAP","29.0068","4.7498","270","Capacitor"
"C12","Capacitor","BottomLayer","SMD0603_CAP","37.4522","7.6962","180","Capacitor"
"D1","LED","TopLayer","SMD0603_LED","8.0646","3.2004","0","LED"
"D2","LED","TopLayer","SMD0603_LED","30.3148","-5.9182","180","LED"
"D3","LED","TopLayer","SMD0603_LED","34.4932","14.6684","90","LED"
"D4","LED","TopLayer","SMD0603_LED","33.3756","14.6684","90","LED"
"IC1","KMZ51","TopLayer","KMZ51_SO8","52.0764","2.9134","90",""
"IC5","TP4054-42","BottomLayer","SOT23-5","38.7414","10.1524","0","MCP73832T bat charger"
"J6","Buzzer","TopLayer","BUZZER_9.5X5","24.9936","12.5730","270",""
"J7","Connector 2pin 3.5mm","TopLayer","CONNECTOR_2PIN_3.5MM","9.4234","7.7216","90",""
"J8","jumper","BottomLayer","0402_JUMPER","31.6484","16.7894","180",""
"J9","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","15.0128","7.2391","90",""
"J11","uUSB","TopLayer","MICROUSB","39.3764","14.6774","180",""
"R1","Resistor","BottomLayer","SMD0402_RES","46.9701","-0.8126","270","Resistor"
"R2","SMD potentiometer","TopLayer","POT_1804","52.0954","10.4394","90",""
"R3","Resistor","BottomLayer","SMD0402_RES","47.6248","7.8666","90","Resistor"
"R4","Resistor","BottomLayer","SMD0402_RES","48.4801","7.8666","270","Resistor"
"R5","Resistor","BottomLayer","SMD0402_RES","10.6170","2.5906","90","Resistor"
"R7","Resistor","BottomLayer","SMD0402_RES","54.5844","10.8456","90","Resistor"
"R9","Resistor","BottomLayer","SMD0402_RES","51.4409","8.9659","90","Resistor"
"R11","Resistor","BottomLayer","SMD0402_RES","52.7109","8.9659","90","Resistor"
"R20","Resistor","BottomLayer","SMD0402_RES","41.6304","10.1598","90","Resistor"
"D5","LED","TopLayer","SMD0603_LED","39.8526","6.6420","90","LED"
"R23","Resistor","BottomLayer","SMD0402_RES","39.1416","4.6992","270","Resistor"
"J13","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","43.6944","6.5964","180",""
"Q3","AO3401A","BottomLayer","SOT_23","19.3104","7.3584","90","HEXFET Power P-Channel MOSFET"
"R24","Resistor","BottomLayer","SMD0402_RES","20.4976","12.1414","0","Resistor"
"R25","Resistor","BottomLayer","SMD0402_RES","16.8972","7.3582","90","Resistor"
"R8","Resistor","BottomLayer","SMD0402_RES","27.1270","0.6348","90","Resistor"
"IC3","ATtinny10","BottomLayer","SOT23-6","31.2484","14.0894","270",""
"R13","Resistor","BottomLayer","SMD0402_RES","30.3782","10.1856","0","Resistor"
"C2","Capacitor","BottomLayer","SMD0402_CAP","28.8354","14.0894","270","Capacitor"
"R14","Resistor","BottomLayer","SMD0402_RES","31.6486","9.2962","180","Resistor"
"R15","Resistor","BottomLayer","SMD0402_RES","32.7912","10.1856","0","Resistor"
"FB1","Resistor","BottomLayer","SMD0402_RES","30.5560","4.1404","0","Resistor"
"FB2","Resistor","BottomLayer","SMD0402_RES","27.7874","14.0714","90","Resistor"
"VR1","TL431","BottomLayer","SOT23","25.0844","-0.6712","180","Voltage reference"
"F1","Resistor","BottomLayer","SMD0805_RES","15.0774","10.8577","0","Resistor"
"R26","Resistor","BottomLayer","SMD0402_RES","16.8912","4.6738","270","Resistor"
"R27","Resistor","BottomLayer","SMD0402_RES","54.5844","12.6998","90","Resistor"
"R28","Resistor","BottomLayer","SMD0402_RES","25.0954","2.0830","270","Resistor"
"R22","Resistor","BottomLayer","SMD0402_RES","49.3990","37.8666","270","Resistor"
"R21","Resistor","BottomLayer","SMD0402_RES","54.7114","37.8738","90","Resistor"
"R30","Resistor","BottomLayer","SMD0402_RES","39.4602","46.1121","0","Resistor"
"J2","Connector 6 pin","TopLayer","6x1_connector_1.27mm","30.3276","33.0988","180",""
"IC2","ATtinny10","BottomLayer","SOT23-6","29.3878","29.3396","90",""
"R16","Resistor","BottomLayer","SMD0402_RES","22.2248","37.3408","0","Resistor"
"C5","Capacitor","BottomLayer","SMD0603_CAP","48.0568","29.1238","270","Capacitor"
"R32","Resistor","BottomLayer","SMD0402_RES","8.0774","33.2256","180","Resistor"
"R31","Resistor","BottomLayer","SMD0402_RES","8.0774","31.9810","180","Resistor"
"D6","LED","TopLayer","SMD0603_LED","8.0646","31.9812","0","LED"
"IC6","GS8331-TR","BottomLayer","SOT23-5","52.0954","41.5316","180","OPAx333 1.8-V, microPower, CMOS Operational Amplifiers, Zero-Drift Series"
"Q2","BM3415E","BottomLayer","SOT_23","15.9512","43.7820","0","HEXFET Power P-Channel MOSFET"
"R29","Resistor","BottomLayer","SMD0402_RES","27.1274","28.5016","270","Resistor"
"R17","Resistor","BottomLayer","SMD0402_RES","29.9722","31.7778","180","Resistor"
"R10","Resistor","BottomLayer","SMD0402_RES","33.6616","43.9626","270","Resistor"
"J1","Connector 6 pin","BottomLayer","6x1_connector_1.27mm","30.6324","41.4554","0",""
"R19","Resistor","BottomLayer","SMD0402_RES","50.1906","37.8666","270","Resistor"
"R12","Resistor","BottomLayer","SMD0402_RES","53.8732","37.8662","90","Resistor"
"R18","Resistor","BottomLayer","SMD0402_RES","18.2374","45.5958","270","Resistor"
"Q1","SI2302","BottomLayer","SOT_23","20.4978","44.8082","180","HEXFET Power N-Channel MOSFET"
"J10","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","50.4865","26.1853","180",""
